Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$460,699,653","$372,755",<0.1%,"$460,326,898",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,Tenet,"$341,600,000","$52,500,000",15.4%,"$289,100,000",84.6%
4,Sonic the Hedgehog,"$308,440,324","$146,066,470",47.4%,"$162,373,854",52.6%
5,Dolittle,"$245,229,574","$77,047,065",31.4%,"$168,182,509",68.6%
6,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
7,Legend of Deification,"$163,574,009","$212,325",0.1%,"$163,361,684",99.9%
8,Onward,"$141,306,360","$61,555,145",43.6%,"$79,751,215",56.4%
9,The Invisible Man,"$130,663,994","$64,914,050",49.7%,"$65,749,944",50.3%
10,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
11,Mulan,"$66,800,000",-,-,"$66,800,000",100%
12,Fantasy Island,"$48,754,688","$27,309,289",56%,"$21,445,399",44%
13,After We Collided,"$47,790,886","$2,186,955",4.6%,"$45,603,931",95.4%
14,The New Mutants,"$44,542,109","$23,292,160",52.3%,"$21,249,949",47.7%
15,Unhinged,"$41,215,070","$20,515,070",49.8%,"$20,700,000",50.2%
16,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
17,Train to Busan Presents: Peninsula,"$37,762,337","$1,215,304",3.2%,"$36,547,033",96.8%
18,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
19,Greenland,"$33,600,000",-,-,"$33,600,000",100%
20,Bloodshot,"$33,482,340","$12,561,824",37.5%,"$20,920,516",62.5%
21,Trolls World Tour,"$33,278,252",-,-,"$33,278,252",100%
22,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
23,Emma.,"$25,644,571","$10,055,355",39.2%,"$15,589,216",60.8%
24,Leap,"$25,557,490","$83,074",0.3%,"$25,474,416",99.7%
25,Scoob!,"$24,100,000",-,-,"$24,100,000",100%
